LOSS,ACCURACY
1.1420178,0.625
1.0169723,0.59375
1.0138949,0.5729167
0.94461703,0.5859375
0.9285974,0.59375
1.1770962,0.5572917
1.2701912,0.51785713
1.0514448,0.515625
0.98894465,0.5208333
0.98894465,0.525
0.95769465,0.53125
0.95769465,0.5364583
1.0514446,0.53365386
1.1139446,0.52678573
0.98894465,0.52916664
0.92644465,0.53515625
0.77019465,0.5496324
0.98894465,0.5503472
1.0201946,0.5493421
0.98894465,0.55
1.1451946,0.5431548
1.0201946,0.5426136
1.0201946,0.54211956
0.92644465,0.54557294
0.95769465,0.5475
1.0826946,0.54447114
0.86394465,0.5497685
0.95769465,0.55133927
0.98894465,0.55172414
1.0514446,0.55
0.92644465,0.55241936
0.95769465,0.55371094
1.0514446,0.5520833
0.95769465,0.55330884
0.95769465,0.5544643
0.80144465,0.5598958
0.95769465,0.5608108
0.89519465,0.56332237
1.1139446,0.56009614
1.0514446,0.55859375
0.95769465,0.5594512
0.86394465,0.5625
0.98894465,0.5625
0.89519465,0.5646307
1.1764446,0.56041664
1.0514446,0.55910325
1.0201946,0.55851066
0.98894465,0.55859375
0.98894465,0.55867344
0.98894465,0.55875
0.95769465,0.55943626
0.98894465,0.5594952
1.0201946,0.5589623
0.95769465,0.5596065
0.92644465,0.5607954
1.0514446,0.55970985
0.95769465,0.560307
0.95769465,0.56088364
1.1451946,0.5582627
1.0201946,0.5578125
0.98894465,0.55788934
1.0826946,0.5564516
1.0201946,0.5560516
0.89519465,0.5576172
1.0201946,0.5572115
1.0201946,0.5568182
0.95769465,0.5573694
0.98894465,0.5574449
0.83269465,0.5597826
0.95769465,0.56026787
1.0514446,0.55941904
0.92644465,0.56032985
1.1139446,0.5586473
0.95769465,0.5591216
1.0201946,0.55875
0.92644465,0.5596217
0.92644465,0.56047076
0.86394465,0.56209934
0.95769465,0.5625
0.89519465,0.5636719
1.0826946,0.5625
0.92644465,0.5632622
0.98894465,0.563253
0.95769465,0.5636161
0.95769465,0.56397057
0.92644465,0.5646802
0.89519465,0.5657328
1.1451946,0.56392044
0.92644465,0.5646067
1.0826946,0.56354165
1.1764446,0.5614698
0.98894465,0.561481
1.0826946,0.5604839
0.95769465,0.56083775
0.80144465,0.56282896
0.86394465,0.5641276
0.83269465,0.56572163
1.0514446,0.565051
1.1139446,0.5637626
0.92644465,0.564375
